date,detections,flag,gear_type,hours,vessel_ids,vessel_id,vessel_type,entry_timestamp,exit_timestamp,first_transmission_date,last_transmission_date,imo,mmsi,call_sign,dataset,report_dataset,ship_name,lat,lon
2024-10-25,1,PAN,OTHER,,,c44687519-93bd-3a3e-a0c5-c0080dc7bda2,OTHER,2024-10-18 23:36:39+00:00,2024-10-25 23:28:28+00:00,2018-08-09 02:45:18+00:00,2026-07-24 23:38:41+00:00,9780990,371951000,3FAI,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,AMIS POWER,-33.61,-71.66999816894531
2024-10-25,1,MHL,OTHER,,,5bd313cd6-61d7-20da-e425-9c5c2d6fd91a,OTHER,2024-10-25 23:28:53+00:00,2024-10-25 23:28:53+00:00,2012-01-01 02:57:42+00:00,2026-07-24 23:59:56+00:00,9573892,538003890,V7TV3,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,MAR CAMINO,-32.1,-71.7300033569336
2024-10-30,1,CHL,CARGO,,,195b8492a-aaa1-6491-4a83-cb9db4ef58fe,CARGO,2024-10-25 23:28:28+00:00,2024-10-30 23:36:39+00:00,2012-01-02 16:30:12+00:00,2026-07-24 23:43:53+00:00,9580132,725019110,CBTQ,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,SPL TARAPACA,-33.61,-71.68000030517578
2024-10-30,1,MHL,CARGO,,,7345755de-efcc-1c17-2c9b-93d273d169b8,CARGO,2024-10-30 23:36:39+00:00,2024-10-30 23:36:39+00:00,2023-05-12 02:09:20+00:00,2026-07-24 23:54:49+00:00,9958896,538010590,V7A6263,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,PACIFIC ETERNITY,-33.59,-71.66000366210938
2024-10-25,1,CHL,OTHER,,,5e775faa4-4594-456c-7ceb-25ce823eaaf6,OTHER,2024-10-25 23:28:53+00:00,2024-10-30 23:36:39+00:00,2012-01-02 11:40:44+00:00,2026-07-24 23:59:01+00:00,9287819,725000794,CBDH,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,DON PANCHO II,-32.77,-71.51000213623047
2024-10-25,1,CHL,CARGO,,,195b8492a-aaa1-6491-4a83-cb9db4ef58fe,CARGO,2024-10-25 23:28:28+00:00,2024-10-30 23:36:39+00:00,2012-01-02 16:30:12+00:00,2026-07-24 23:43:53+00:00,9580132,725019110,CBTQ,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,SPL TARAPACA,-33.61,-71.68000030517578
2024-10-30,1,CHL,OTHER,,,5e775faa4-4594-456c-7ceb-25ce823eaaf6,OTHER,2024-10-25 23:28:53+00:00,2024-10-30 23:36:39+00:00,2012-01-02 11:40:44+00:00,2026-07-24 23:59:01+00:00,9287819,725000794,CBDH,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,DON PANCHO II,-33.52,-71.80000305175781
2024-10-18,1,PAN,OTHER,,,4ca22d1d7-7cc7-dfee-bd97-a06770cc54ba,OTHER,2024-10-18 23:36:39+00:00,2024-10-18 23:36:39+00:00,2012-01-07 17:53:54+00:00,2026-07-24 23:49:53+00:00,9425992,370854000,H9MA,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,GINGA LEOPARD,-33.6,-71.6500015258789
2024-10-18,1,MLT,CARGO,,,3b24f30ed-de58-cf01-d7ed-4073b7fb7a67,CARGO,2024-10-18 23:36:39+00:00,2024-10-18 23:36:39+00:00,2018-03-28 08:10:10+00:00,2026-07-24 23:59:59+00:00,9745548,248660000,9HA4749,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,CMA CGM NEVA,-33.57,-71.66000366210938
2024-10-30,1,,,,,,,2024-10-18 23:36:39+00:00,2024-10-30 23:36:39+00:00,,,,,,,public-global-sar-presence:v4.0,,-33.67,-71.79000091552734
2024-10-25,1,CHL,OTHER,,,d0675825b-be3f-c01e-80cd-43629b85933b,OTHER,2024-10-25 23:28:53+00:00,2024-10-25 23:28:53+00:00,2012-11-12 12:41:47+00:00,2026-07-24 23:55:45+00:00,,725019072,CCCH,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,CABO DE HORNOS,-33.03,-71.62000274658203
2024-10-18,1,,,,,,,2024-10-18 23:36:39+00:00,2024-10-30 23:36:39+00:00,,,,,,,public-global-sar-presence:v4.0,,-33.39,-71.87999725341797
2024-10-30,1,,,,,,,2024-10-18 23:36:39+00:00,2024-10-30 23:36:39+00:00,,,,,,,public-global-sar-presence:v4.0,,-33.67,-71.81999969482422
2024-10-25,1,SGP,CARGO,,,77da3d649-98af-1779-6754-1bbc746db9ec,CARGO,2024-10-25 23:28:28+00:00,2024-10-30 23:36:39+00:00,2023-04-17 15:25:25+00:00,2026-07-24 23:07:25+00:00,9605023,563189200,9V8915,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,PROPEL GRACE,-33.64,-71.69999694824219
2024-10-30,1,PRT,OTHER,,,91b367cce-eef0-cffe-4b10-ec1bca9264bd,OTHER,2024-10-18 23:36:39+00:00,2024-10-30 23:36:39+00:00,2022-01-06 07:30:54+00:00,2026-07-24 23:39:16+00:00,9726566,255801360,CQNF,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,ATALANTA,-33.6,-71.68000030517578
2024-10-18,1,HKG,CARGO,,,816fb2066-600d-d520-b41f-cec624cf01fc,CARGO,2024-10-18 23:36:39+00:00,2024-10-18 23:36:39+00:00,2023-05-15 14:35:26+00:00,2025-10-24 02:33:32+00:00,9757797,477886900,VRVI5,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,PORT PIRIE,-33.62,-71.66999816894531
2024-10-18,1,PRT,OTHER,,,91b367cce-eef0-cffe-4b10-ec1bca9264bd,OTHER,2024-10-18 23:36:39+00:00,2024-10-30 23:36:39+00:00,2022-01-06 07:30:54+00:00,2026-07-24 23:39:16+00:00,9726566,255801360,CQNF,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,ATALANTA,-33.6,-71.68000030517578
2024-10-18,1,PAN,BUNKER,,,20c33f8b6-6c71-b0e4-4c42-f6237f10b8dc,BUNKER,2024-10-18 23:36:39+00:00,2024-10-18 23:36:39+00:00,2013-05-06 12:36:44+00:00,2026-07-24 23:58:04+00:00,9477531,371936000,3FPP3,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,SHAMROCK MERCURY,-33.58,-71.66999816894531
2024-10-25,1,SGP,CARGO,,,b0820ba35-5d6e-45f4-bb38-b99e0ff71b85,CARGO,2024-10-25 23:28:28+00:00,2024-10-25 23:28:28+00:00,2018-12-21 06:21:50+00:00,2026-07-24 23:59:28+00:00,9743497,563024800,9V3437,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,MATTHEW SCHULTE,-33.55,-71.68000030517578
