id,fuente,fecha,lat,lon,zona,puntaje,nivel,razones,barco,mmsi,estado,registrado_en,ciclo_ingreso
INC-33585170,GAP,2026-07-06,,,trayecto,90,ALTO,apagado intencional de AIS por 66 h | sin bandera declarada | MMSI de rango irregular,LM YUCATAN CA 3551,941220755,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-6B140D1F,GAP,2025-10-01,,,trayecto,90,ALTO,apagado intencional de AIS por 27 h,ANTONIO,725011100,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-6C150F03,SAR,2025-10-30,-33.44,-71.93000030517578,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (32.7 km): +15 | opera en grupo (7 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-4774D946,SAR,2025-10-30,-33.45,-71.97000122070312,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (35.5 km): +15 | opera en grupo (7 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-9524C64C,SAR,2025-10-30,-33.58,-72.31999969482422,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (64.8 km): +15 | opera en grupo (7 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-100673ED,SAR,2025-10-20,-33.11,-72.23999786376953,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (57.5 km): +15 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-6AE75A54,SAR,2025-10-20,-33.73,-72.26000213623047,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (61.5 km): +15 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-60475001,SAR,2025-10-20,-33.68,-72.31999969482422,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (65.8 km): +15 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-5B36F599,SAR,2025-10-20,-32.16,-72.0199966430664,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (81.9 km): +15 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-CAAF7ACE,SAR,2025-10-20,-32.81,-72.43000030517578,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (78.6 km): +15 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
