date,lat,lon,zona,dist_puerto_km,persistencia,grupo_dia,puntaje,nivel,razones
2025-10-20,-32.73,-71.66000366210938,dentro_5_millas,12.9,1,19,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-13,-33.62,-71.66999816894531,dentro_5_millas,6.4,1,12,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (12 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-08,-32.99,-71.58999633789062,dentro_5_millas,5.8,1,10,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (10 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-08,-33.01,-71.58999633789062,dentro_5_millas,4.3,1,10,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (10 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-13,-33.6,-71.69000244140625,dentro_5_millas,6.9,1,12,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (12 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-06,-32.47,-71.56999969482422,dentro_5_millas,33.6,1,6,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | lejos de puerto (33.6 km): +15 | opera en grupo (6 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-30,-32.95,-71.58000183105469,dentro_5_millas,10.0,1,7,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (7 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-18,-32.45,-71.56999969482422,dentro_5_millas,35.8,1,8,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | lejos de puerto (35.8 km): +15 | opera en grupo (8 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-18,-32.55,-71.61000061035156,dentro_5_millas,25.6,1,8,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (8 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-18,-32.99,-71.61000061035156,dentro_5_millas,4.8,1,8,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (8 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-08,-32.03,-71.62999725341797,dentro_5_millas,82.8,1,10,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | lejos de puerto (82.8 km): +15 | opera en grupo (10 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-20,-32.75,-71.69000244140625,dentro_5_millas,15.1,1,19,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-18,-32.1,-71.58000183105469,dentro_5_millas,74.6,1,8,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | lejos de puerto (74.6 km): +15 | opera en grupo (8 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-13,-33.59,-71.66999816894531,dentro_5_millas,4.8,1,12,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (12 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-13,-33.6,-71.66000366210938,dentro_5_millas,4.3,1,12,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (12 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-18,-32.12,-71.58000183105469,dentro_5_millas,72.4,1,8,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | lejos de puerto (72.4 km): +15 | opera en grupo (8 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-06,-32.36,-71.66999816894531,dentro_5_millas,47.4,1,6,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | lejos de puerto (47.4 km): +15 | opera en grupo (6 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-08,-32.76,-71.5199966430664,dentro_5_millas,1.5,1,10,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (10 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-20,-32.75,-71.5199966430664,dentro_5_millas,2.4,1,19,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-08,-33.0,-71.58999633789062,dentro_5_millas,5.0,2,10,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | presencia repetida en la misma celda (2 fechas): +15 | opera en grupo (10 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
